title	inventors	patent_number	status	year	abstract	citation
Leveraging Token Relationships for Enhancing Token Embeddings	K. Dave, A. Iyer, J. Jiao, L. Kumar, P. Malhotra, S. Mehta, A. Mittal, M. A. Mohankumar, Y. Prabhu, B. Santra, A. Singh, G. Sinha, R. Valluri, M. Varma	504724-US01	Pending	2025	A method for leveraging token relationships to enhance token embeddings for improved retrieval and representation learning.	Dave, K., Iyer, A., Jiao, J., Kumar, L., Malhotra, P., Mehta, S., Mittal, A., Mohankumar, M. A., Prabhu, Y., Santra, B., Singh, A., Sinha, G., Valluri, R., & Varma, M. (2025). Leveraging Token Relationships for Enhancing Token Embeddings. U.S. Patent Application (Pending).
TREAT: Tokenization for Retrieving Entity-Aware Targets	A. Mittal, L. Kumar, P. Malhotra, A. Singh, M. Varma	504292-US01	Pending	2025	A tokenization framework designed for retrieving entity-aware targets, improving entity recognition and retrieval in large-scale systems.	Mittal, A., Kumar, L., Malhotra, P., Singh, A., & Varma, M. (2025). TREAT: Tokenization for Retrieving Entity-Aware Targets. U.S. Patent Application (Pending).
